question,answer
1 x 1,1
1 x 2,2
1 x 3,3
1 x 4,4
1 x 5,5
1 x 6,6
1 x 7,7
1 x 8,8
1 x 9,9
2 x 1,2
2 x 2,4
2 x 3,6
2 x 4,8
2 x 5,10
2 x 6,12
2 x 7,14
2 x 8,16
2 x 9,18
3 x 1,3
3 x 2,6
3 x 3,9
3 x 4,12
3 x 5,15
3 x 6,18
3 x 7,21
3 x 8,24
3 x 9,27
4 x 1,4
4 x 2,8
4 x 3,12
4 x 4,16
4 x 5,20
4 x 6,24
4 x 7,28
4 x 8,32
4 x 9,36
5 x 1,5
5 x 2,10
5 x 3,15
5 x 4,20
5 x 5,25
5 x 6,30
5 x 7,35
5 x 8,40
5 x 9,45
6 x 1,6
6 x 2,12
6 x 3,18
6 x 4,24
6 x 5,30
6 x 6,36
6 x 7,42
6 x 8,48
6 x 9,54
7 x 1,7
7 x 2,14
7 x 3,21
7 x 4,28
7 x 5,35
7 x 6,42
7 x 7,49
7 x 8,56
7 x 9,63
8 x 1,8
8 x 2,16
8 x 3,24
8 x 4,32
8 x 5,40
8 x 6,48
8 x 7,56
8 x 8,64
8 x 9,72
9 x 1,9
9 x 2,18
9 x 3,27
9 x 4,36
9 x 5,45
9 x 6,54
9 x 7,63
9 x 8,72
9 x 9,81
"a,an",(하나의)    This is  a pie.   It is  an  apple.
about,(~에관하여)    Tell me all  about  it.
across,(~가로질러)  A butterfly flutters  across the yard.
act,(행동)     You must be prompt to act.
address,(주소)     Please note my new e-mail address .
afraid,(두려워하여)    (I'm) afraid so.
after,"(~후에)    After lunch, he retired to his study."
afternoon,(오후)   It is a nice Sunday afternoon.
again,(다시)   He is lost in the sauce again.
age,(나이)    She is a girl of tender age.
ago,(~전에)   I was dressed an hour ago.
air,(공기)    I really hate the dirty air.
airport,(공항)   The boy is at the airport.
album,(사진첩)  The new album from god just came out.
all,(모두)     Who is the prettiest of us all?
along,(~을 따라서)  He walked along the side of a way.
always,(항상)   He is always in a hurry.
among,(~사이에서)    The car is among the trees.
and,(그리고)   Put on your nightgown and go to bed.
angry,(성난)   She was angry more than a little.
animal,(동물)    A dog is a faithful animal.
answer,(대답)   Answer him as you think fit.
any,(어떤)   I hope that it doesn't invite any danger.
apartment,(아파트)  My apartment is on the third floor.
apple,(사과)    The woman is eating an apple.
arm,(팔)     I have broken my arm.
around,(~주위에)   The earth moves around the sun.
arrive,(도착하다)   When does the next bus arrive?
as,"(~같은,~로서) They were all dressed as clowns."
ask,(묻다)     Where are you going?' she asked.
at,(~에)   The ship is docking at the wharf.
aunt,"(이모,고모)   My aunt is a very nice lady."
autumn,(가을)   It is windy in the autumn.
away,(떨어져)  She swam far away from the beach.
baby,(아기)   A boy baby was born to them.
back,(뒤에)   Do my buttons up in back.
bad,(나쁜)   That's not too bad.
bag,(가방)   Put your bag down on the desk.
ball,(공)    The ball is next to the basket.
balloon,(풍선)   The girl is holding a balloon.
banana,(바나나)   Let's go to the banana woods.
band,"(끈,악단)   I want to join the band, too."
bank,(은행)     Is there a bank near here?
base,(기초)    The base of the statue is cement.
basket,(바구니)    The apples are in a basket.
bath,(목욕)    The girl is taking a bath.
be,(~이다)  I don't want to be late.
beach,(해변)  The people are at the beach.
bear,(곰)   He can't find his teddy bear.
beautiful,(아름다운)   The music is beautiful.
because,(때문에)  Because science fiction is very fun.
become,(~이되다)   When did you become a Christian?
bed,(침대)   The lamp is next to the bed.
before,(~전에)    Where did you live before that?
begin,(시작하다)   When will the road works begin?
behind,(~뒤에)   The mouse is behind the hat.
bell,(종)     She touched her finger to the bell.
below,(~아래)    A couple is below the stands.
bench,(긴의자)  There's no bench in the park.
beside,(~곁에)     Is there a boy beside the trees?
between,(사이에) The dog is between the cat and the boy.
bicycle,(자전거)    A man is riding a bicycle. 
big,(큰)    An elephant is a big animal.
bird,(새)    There is no bird in the sky.
birthday,(생일)    This very day is my birthday.
black,(검정색)  Why not wear the black dress?
blow,(불다)    The flags blow in the wind.
blue,(푸른)    How much is this blue skirt?
board,(판자)    It's a kind of board game.
boat,(배)    Two people are in the boat.
body,(몸)     She ached in body and mind.
book,(책)     The book is next to the scissors.
bottle,(병)     There is little ink in the bottle.
bowl,(사발)    The fish bowl is on the chair.
box,(상자)     The robot is next to the box.
boy,(소년)    The boy is at the airport.
bread,(빵)    The woman is baking the bread.
